TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-05-01 11:32:09.475,0.2083557622945468,0.8001371099183476,0.9779344213858139,0.3565284991999844,-0.09751014953513425,0.5079015576325068,0.7881169995371574,0.4529642541955954,0.2291508582356041,0.2665011369562766,0.7302045807867645,0.7047500020309896,0.1004197015210087,-0.09102065063067234,0.09339025049149739,0.422836214093999,-0.3361050379226946,-0.3824931387902491,-0.1370895405760077,-0.07642328125418749,821.5750915750916,811.0989010989011,807.0695970695971,829.2307692307693,955.3479853479854,-0.303223,0.059448,0.961182,4.216919,-9.914246,-1.764526,1,2,1,1,2,65.000000
2019-05-01 11:32:10.474,0.2902025623882015,0.6012721392522853,0.7205176700482159,0.6352954227013767,0.0249432858250299,0.2937491789884267,0.3689881474556179,0.1807672485778808,0.3689631808784309,0.2928273718102431,0.5466372729628314,0.2724035133942615,0.3084614024215302,0.002864984810623249,-0.01402044644528554,0.3364590250377352,-0.2884497362558592,-0.3469740235279625,-0.204436634536748,0.2615397523348676,822.3809523809524,807.8754578754579,813.5164835164835,823.992673992674,1043.992673992674,-0.298279,0.056519,0.964417,4.680481,-9.353485,-1.203766,1,1,1,1,1,65.000000
2019-05-01 11:32:11.474,0.6354508535861922,0.2510301067347145,0.2578216358152639,0.7104805421368257,0.2462473031558346,-0.3133719560650218,0.07269882758282932,0.4286301444755009,0.732661630316024,0.3161537683830383,0.342683694927278,0.5199688114935845,0.218109786681545,-0.1131478766560607,-0.06733397863132436,0.2876509167410952,-0.4476011979274159,-0.5500317288500812,-0.3316764624243331,0.189586837892387,810.6959706959707,812.3076923076924,806.6666666666667,815.1282051282052,605.2014652014652,-0.290649,0.056519,0.963135,3.708496,-10.422668,-1.315918,1,1,1,1,1,65.000000
2019-05-01 11:32:12.475,0.6697749307020637,0.3745041883577461,0.3719571694515755,0.6772481785981589,0.2927997300424083,-0.1698388828549754,0.1038173440320367,0.3599179227994038,1.042171091564225,0.3861633227919241,0.411118239279027,0.6952327388320614,0.1516540182318964,-0.3067867966505686,-0.1630839580433602,0.2590264941167758,-0.287906764196795,-0.6002164842542788,-0.3982014390093375,-0.06999965835110754,815.5311355311355,809.8901098901099,807.4725274725275,820.3663003663004,902.5641025641025,-0.290161,0.060730,0.961731,4.007568,-8.299255,-1.667328,1,1,1,1,1,65.000000
2019-05-01 11:32:13.474,0.1655201207276021,-0.2351102579979896,0.06120565280966652,0.07395924144292379,0.132189920068828,-0.310713453432919,-0.002430912478215118,-0.07448060546276986,0.811455354381572,0.1791705045956187,0.2787368308079309,0.5591141223092378,0.1870462736527067,-0.2320653213882381,-0.1594543223173015,0.2950532495519526,-0.2764515524550173,-0.5178661249114372,-0.4366719856219029,-0.005751273145704958,817.5457875457876,798.2051282051282,807.4725274725275,821.978021978022,677.3260073260074,-0.288025,0.059448,0.965698,3.207550,-9.293671,-1.308441,1,1,1,1,1,65.000000
2019-05-01 11:32:14.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:14.478,0.03174309591705594,0.4982122212731814,0.5075842886521961,0.1457450064340793,0.2671279982823718,0.06957881094166848,0.2834794909930543,0.06775610099586631,0.5475303400800532,0.1871713939410515,0.3259122300051134,0.3314807605830305,0.05954115933926247,-0.1593089940872542,-0.05102002286989963,0.1038766162085703,-0.4578920704906186,-0.4426137876832653,-0.4866041080939016,0.02712071472500995,815.934065934066,811.9047619047619,810.2930402930403,803.4432234432235,749.4505494505495,-0.287659,0.061096,0.965576,4.329071,-10.519867,-1.510315,1,1,1,1,1,65.000000
2019-05-01 11:32:15.475,0.4517710156661071,0.8540866498223519,0.8053466026735312,0.1037585136172349,0.4196487076211874,0.3354237286199108,0.4686360187523995,-0.1193632055666928,0.4926250707381685,0.0951298264081822,0.4429331695391879,0.2606860824657419,0.1670846898926384,-0.2491760184896861,-0.004507083916940545,0.08754499344144011,-0.3724154850458833,-0.3835276066238718,-0.4793654292485852,0.09336479346254201,809.0842490842491,806.2637362637363,814.3223443223443,814.3223443223443,583.040293040293,-0.292419,0.056458,0.962830,3.790741,-10.751648,-2.407532,1,1,1,1,1,65.000000
2019-05-01 11:32:16.478,0.2575635069980141,-0.03761623264607001,0.1716431364239924,0.4004301587465326,0.3264295883788255,-0.2139906582350214,-0.2149785735506806,0.09029778750259936,0.3974367990712064,-0.3223081630196781,0.2331694481757044,0.3117573739484524,0.3534310997907804,-0.2083347714454774,-0.1505891101114948,0.4026452732883998,-0.3254254795487921,-0.5670419747067398,-0.5417119326655454,0.1157830277298292,816.3369963369963,806.6666666666667,808.2783882783883,813.919413919414,971.8681318681319,-0.282715,0.056396,0.965088,3.364563,-10.317993,-2.407532,1,1,1,1,1,65.000000
2019-05-01 11:32:17.474,0.8957769919860741,0.3758505070604274,0.5182530296146887,0.9021665427651663,0.2859746089934435,0.03511996370233693,-0.01792912562479783,0.3794824404087843,0.463665444282322,-0.02017010604895064,0.4036386158685842,0.5084676274479528,0.2067513404038994,-0.1379519055540112,-0.1198195485302205,0.3601886760593137,-0.3279545061779828,-0.5475299981567734,-0.4694288537443458,0.04262194011023735,805.8608058608058,817.5457875457876,805.4578754578755,809.8901098901099,866.3003663003664,-0.283752,0.059509,0.965454,3.895416,-10.833893,-0.755157,1,1,1,1,1,65.000000
