TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
49:30.9,1.553576933,0.671921611,1.01053868,0.848515491,1.044655752,0.419942934,0.59891735,1.070602775,1.216830029,0.42792236,0.509028028,0.897019181,0.703548375,0.210559681,0.557845194,0.547009826,0.364195179,0.588590358,0.276295546,0.373968525,836.4835165,798.6080586,791.3553114,820.3663004,905.7875458,-0.380554,0.114136,0.925537,3.768311,-7.648773,-0.874786,1,1,1,1,1,75,
49:31.9,1.270020974,0.743328624,1.242895279,0.624103462,0.737036504,0.293204541,0.722355356,0.423473041,1.102759479,0.283858404,0.463880755,0.443846091,0.74794327,0.303599512,0.617928498,0.64796237,0.238367925,0.544391825,0.266772166,0.405332786,828.021978,827.6190476,807.4725275,788.9377289,654.3589744,-0.370667,0.117004,0.931519,4.089813,-7.327271,-1.951447,1,1,1,1,1,75,
49:32.9,0.545370744,0.052688782,0.853752031,0.565542051,0.442147292,0.010705397,0.421766775,0.385522397,0.377309145,0.246089901,0.323911505,0.483745141,0.539535833,0.125638151,0.681578892,0.627992446,0.105980792,0.565333592,0.401844276,0.588988742,810.6959707,799.4139194,788.5347985,831.6483516,884.029304,-0.375244,0.115295,0.931763,3.985138,-7.222595,-1.457977,1,1,1,1,1,75,
49:33.9,0.316189329,-0.217818013,-0.41250908,0.212771104,0.322369823,-0.188846546,-0.22700733,0.133753439,0.766843484,0.138342901,0.20376684,0.529420871,0.565226254,0.392537632,0.58316794,0.555751047,0.230899623,0.616629135,0.417214499,0.385521223,801.025641,794.1758242,792.1611722,811.5018315,749.4505495,-0.367981,0.117065,0.927551,4.029999,-6.631927,-1.839294,1,1,1,1,1,75,
49:34.9,0.475300776,-0.309076782,-0.18761314,0.299731054,0.26926679,-0.439491051,-0.561932623,-0.062125297,0.830625375,0.151642439,-0.034290517,0.416103555,0.427357195,0.406020239,0.533970891,0.445722089,0.358337889,0.709690719,0.270130596,0.124478585,803.040293,804.2490842,793.7728938,797.3992674,1144.725275,-0.372437,0.116516,0.933228,4.336548,-7.446899,-0.964508,1,1,1,1,1,75,
49:35.9,0.724267062,0.042525495,-0.465964206,0.534116044,0.291467539,-0.536353523,-0.334692329,0.102289301,0.926899569,0.307440646,0.25265102,0.604255526,0.540340611,0.386207056,0.45468986,0.615174944,0.184991473,0.636871874,0.366101113,0.40238296,812.7106227,793.3699634,783.6996337,827.2161172,996.4468864,-0.366211,0.111938,0.932617,3.865509,-7.850647,-1.973877,1,1,1,1,1,75,
49:36.9,0.539056626,-0.004906317,-0.121948622,0.654595284,0.320225258,-0.153780777,-0.269236966,0.25557284,0.831935006,0.241840013,0.237304957,0.691846675,0.501241836,0.482996183,0.441426825,0.788460803,0.125129996,0.612781082,0.466418727,0.586494375,797.3992674,799.4139194,801.025641,816.7399267,865.0915751,-0.370239,0.118469,0.931458,4.172058,-7.200165,-0.665436,1,1,1,1,1,75,
49:37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
49:37.9,0.593889973,0.604995669,0.924587023,0.633551449,0.587764268,0.130890619,0.209380846,0.401935681,0.532948989,0.186413325,0.135748215,0.633805016,0.476008608,0.481937821,0.323439276,0.63757229,0.09668951,0.58135475,0.319396036,0.38004543,816.7399267,808.6813187,790.5494505,813.5164835,780.8791209,-0.355591,0.114746,0.933594,3.902893,-7.63382,-1.712189,1,1,1,1,1,75,
49:38.9,0.900548378,0.880952306,1.261643419,0.679338238,0.778516523,0.256383976,0.465599399,0.546845329,0.657960706,0.232393425,0.278194314,0.431344935,0.521349247,0.397220987,0.469765153,0.531956736,0.115727401,0.501397083,0.129451411,0.341810197,815.5311355,815.9340659,799.8168498,805.8608059,839.7069597,-0.35968,0.116516,0.936401,4.560852,-6.512299,-1.383209,1,1,1,1,1,75,
49:39.9,0.752781486,0.422170044,0.646296915,0.596846159,0.594393117,0.108864318,0.136988329,0.440569343,0.793416392,0.053641814,0.16611137,0.530512054,0.40030508,0.512378402,0.51060818,0.81860437,0.037599618,0.524361023,0.169141538,0.566829436,821.1721612,818.7545788,791.7582418,811.5018315,726.0805861,-0.359802,0.107971,0.937744,3.768311,-6.751556,-2.534637,1,1,1,1,1,70,
49:40.9,0.397642208,-0.048433586,-0.227011047,0.165450095,0.268233588,0.000642273,-0.23623769,0.279108881,0.870692132,0.345891655,0.10325394,0.528844557,0.527772958,0.567411782,0.515416888,0.819623447,0.249796351,0.53917225,0.387633335,0.424512718,806.6666667,819.1575092,789.3406593,809.0842491,658.7912088,-0.36322,0.112244,0.932922,4.306641,-7.230072,-0.672913,1,1,1,1,1,70,
49:41.9,0.578956458,0.101309626,-0.139365312,0.211944442,0.194220105,0.046830278,-0.270530533,0.393593014,0.701600772,0.38743556,0.071615189,0.506539759,0.566510811,0.441948519,0.6604752,0.557854706,0.152086227,0.672549184,0.425060956,0.371815881,827.2161172,827.2161172,806.2637363,821.5750916,857.032967,-0.354431,0.110596,0.935669,4.029999,-7.850647,-1.719666,1,1,1,1,1,70,
49:42.9,0.490097312,0.034234461,-0.082575222,-0.140374267,0.171323629,-0.436612259,-0.177374723,0.183865569,0.376253733,0.182712122,0.006358084,0.594043056,0.553314445,0.4026178,0.581532828,0.579207792,0.084521505,0.667870062,0.412796927,0.384453693,821.978022,816.7399267,794.1758242,807.4725275,617.6923077,-0.356995,0.118225,0.940857,4.09729,-6.938477,-1.383209,1,1,1,1,1,70,
49:43.9,0.080968993,-0.058200852,-0.0717457,-0.033526852,0.20385797,-0.374874351,-0.366427728,-0.011599566,0.379268237,0.21807391,-0.126710595,0.564719916,0.667284457,0.525762916,0.421006765,0.791223044,0.106828967,0.572866589,0.700563264,0.627815007,810.2930403,810.6959707,802.2344322,822.7838828,569.7435897,-0.355774,0.108032,0.935303,3.843079,-7.200165,-2.086029,1,1,1,1,1,70,
49:44.9,0.565851528,0.050651089,-0.174432598,0.336960173,0.349407331,-0.393674068,-0.263432682,0.2965312,0.503191813,0.226175296,0.130274389,0.736757409,0.608971289,0.516965119,0.458208531,0.576334417,0.259280923,0.580425813,0.682978928,0.43021947,821.5750916,817.1428571,803.040293,816.7399267,538.7179487,-0.355591,0.110474,0.936035,4.067383,-6.878662,-0.530853,1,1,1,1,1,70,
49:45.9,0.498422726,-0.265629349,-0.333324005,0.230448595,0.489332386,-0.234063677,-0.284737809,0.357295788,0.601949896,0.116722319,0.102810568,0.766450933,0.552343077,0.462366072,0.657588048,0.559766497,0.328089771,0.685437641,0.471393903,0.360348742,819.5604396,816.3369963,790.1465201,816.3369963,751.8681319,-0.348206,0.113159,0.939392,4.201965,-7.349701,-1.682281,1,1,1,1,1,70,
49:46.9,0.209917283,-0.339795614,-0.164038342,0.200275449,0.362227194,-0.279706749,-0.400103152,0.309815935,0.446350287,0.095234971,0.068493162,0.682707321,0.549945819,0.337292752,0.647593427,0.650042869,0.235945179,0.617502918,0.391488934,0.480461094,809.4871795,815.9340659,801.4285714,813.5164835,695.4578755,-0.354065,0.110046,0.939331,3.925323,-7.259979,-1.59256,1,1,1,1,1,70,
